id;post_title;url;slug;meta_title;meta_desc;fb_title;fb_desc;fb_img;tw_title;tw_desc;tw_img;noindex;nofollow;noimageindex;noarchive;nosnippet;canonical_url;primary_cat;redirect_active;redirect_status;redirect_type;redirect_url;target_kw
14441;;https://ideiasblah.com.br/pagina-inicial/blah-squad/design/14441/;14441;;;;;;;;;;;;;;;;;;;;
16449;"Eclectic Set";https://ideiasblah.com.br/pagina-inicial/uncategorized/eclectic-set/;eclectic-set;;;;;;;;;;;;;;;;;;;;
16448;Volcano;https://ideiasblah.com.br/pagina-inicial/uncategorized/volcano/;volcano;;;;;;;;;;;;;;;;;;;;
16447;Classic;https://ideiasblah.com.br/pagina-inicial/uncategorized/classic/;classic;;;;;;;;;;;;;;;;;;;;
16445;Surprised;https://ideiasblah.com.br/pagina-inicial/uncategorized/surprised/;surprised;;;;;;;;;;;;;;;;;;;;
16446;"Clean Set";https://ideiasblah.com.br/pagina-inicial/uncategorized/clean-set/;clean-set;;;;;;;;;;;;;;;;;;;;
16444;"Lemon Set";https://ideiasblah.com.br/pagina-inicial/uncategorized/lemon-set/;lemon-set;;;;;;;;;;;;;;;;;;;;
16443;"Vibrant Set";https://ideiasblah.com.br/pagina-inicial/uncategorized/vibrant-set/;vibrant-set;;;;;;;;;;;;;;;;;;;;
16442;Discs;https://ideiasblah.com.br/pagina-inicial/uncategorized/discs/;discs;;;;;;;;;;;;;;;;;;;;
16441;"The Ball";https://ideiasblah.com.br/pagina-inicial/uncategorized/the-ball/;the-ball;;;;;;;;;;;;;;;;;;;;
16440;Stacked;https://ideiasblah.com.br/pagina-inicial/uncategorized/stacked/;stacked;;;;;;;;;;;;;;;;;;;;
16439;"Wide Bottle";https://ideiasblah.com.br/pagina-inicial/uncategorized/wide-bottle/;wide-bottle;;;;;;;;;;;;;;;;;;;;
16430;"Bright Shapes Set";https://ideiasblah.com.br/pagina-inicial/uncategorized/bright-shapes-set/;bright-shapes-set;;;;;;;;;;;;;;;;;;;;
16427;Shop;https://ideiasblah.com.br/shop/;shop;"Alcance o sucesso com assessoria completa para sua marca!";"Do sucesso da sua empresa ao engajamento nas redes sociais, conte com nossa assessoria completa e tecnologias de ponta para obter os melhores resultados. Contrate já!";;;;;;;;;;;;;;;;;;
